genre,title,URL,description,pages,rating,duration
Sci Fiction,Dune,https://www.goodreads.com/book/show/234225.Dune,"• DUNE: PART TWO • THE MAJOR MOTION PICTURE Directed by Denis Villeneuve, screenplay by Denis Villeneuve and Jon Spaihts, based on the novel Dune by Frank Herbert • Starring Timothée Chalamet, Zendaya, Rebecca Ferguson, Josh Brolin, Austin Butler, Florence Pugh, Dave Bautista, Christopher Walken, Stephen McKinley Henderson, Léa Seydoux, with Stellan Skarsgård, with Charlotte Rampling, and Javier Bardem Frank Herbert’s classic masterpiece—a triumph of the imagination and one of the bestselling science fiction novels of all time. Set on the desert planet Arrakis, Dune is the story of Paul Atreides—who would become known as Muad'Dib—and of a great family's ambition to bring to fruition mankind's most ancient and unattainable dream. A stunning blend of adventure and mysticism, environmentalism and politics, Dune won the first Nebula Award, shared the Hugo Award, and formed the basis of what is undoubtedly the grandest epic in science fiction.",897.0,4.0,1794.0
Sci Fiction,The Hitchhiker’s Guide to the Galaxy,https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy,"Just before the Earth is demolished to make way for a new hyperspatial expressway, Arthur Dent is plucked off the planet by his friend Ford Prefect from the planet Betelgeuse and begins his hitch-hiking misadventures throughout the universe.",228.0,4.5,456.0
Sci Fiction,1984,https://www.goodreads.com/book/show/5470.1984,"George Orwell's dystopian masterpiece, Nineteen Eighty-Four is perhaps the most pervasively influential book of the twentieth century, making famous Big Brother, newspeak and Room 101. 'Who controls the past controls the future: who controls the present controls the past'",361.0,4.0,722.0
Sci Fiction,The Martian,https://www.goodreads.com/book/show/18007564-the-martian,"#1 NEW YORK TIMES BESTSELLER • “Brilliant . . . a celebration of human ingenuity [and] the purest example of real-science sci-fi for many years . . . utterly compelling.”—The Wall Street Journal The inspiration for the major motion picture Six days ago, astronaut Mark Watney became one of the first people to walk on Mars. Now, he’s sure he’ll be the first person to die there. After a dust storm nearly kills him and forces his crew to evacuate while thinking him dead, Mark finds himself stranded and completely alone with no way to even signal Earth that he’s alive—and even if he could get word out, his supplies would be gone long before a rescue could arrive. Chances are, though, he won’t have time to starve to death. The damaged machinery, unforgiving environment, or plain-old “human error” are much more likely to kill him first. But Mark isn’t ready to give up yet. Drawing on his ingenuity, his engineering skills—and a relentless, dogged refusal to quit—he steadfastly confronts one seemingly insurmountable obstacle after the next. Will his resourcefulness be enough to overcome the impossible odds against him? NAMED ONE OF PASTE’S BEST NOVELS OF THE DECADE “A hugely entertaining novel [that] reads like a rocket ship afire . . . Weir has fashioned in Mark Watney one of the most appealing, funny, and resourceful characters in recent fiction.”—Chicago Tribune “As gripping as they come . . . You’ll be rooting for Watney the whole way, groaning at every setback and laughing at his pitchblack humor. Utterly nail-biting and memorable.”—Financial Times",385.0,,770.0
Sci Fiction,Ender’s Game,https://www.goodreads.com/book/show/375802.Ender_s_Game,Child-hero Ender Wiggin must fight a desperate battle against a deadly alien race if mankind is to survive.,252.0,5.0,504.0
Sci Fiction,Foundation,https://www.goodreads.com/book/show/29579.Foundation,"The first novel in Isaac Asimov’s classic science-fiction masterpiece, the Foundation series THE EPIC SAGA THAT INSPIRED THE APPLE TV+ SERIES FOUNDATION • Nominated as one of America’s best-loved novels by PBS’s The Great American Read For twelve thousand years the Galactic Empire has ruled supreme. Now it is dying. But only Hari Seldon, creator of the revolutionary science of psychohistory, can see into the future—to a dark age of ignorance, barbarism, and warfare that will last thirty thousand years. To preserve knowledge and save humankind, Seldon gathers the best minds in the Empire—both scientists and scholars—and brings them to a bleak planet at the edge of the galaxy to serve as a beacon of hope for future generations. He calls his sanctuary the Foundation. The Foundation novels of Isaac Asimov are among the most influential in the history of science fiction, celebrated for their unique blend of breathtaking action, daring ideas, and extensive worldbuilding. In Foundation, Asimov has written a timely and timeless novel of the best—and worst—that lies in humanity, and the power of even a few courageous souls to shine a light in a universe of darkness.",255.0,4.5,510.0
Sci Fiction,Do Androids Dream of Electric Sheep?,https://www.goodreads.com/book/show/7082.Do_Androids_Dream_of_Electric_Sheep_,"A masterpiece ahead of its time, a prescient rendering of a dark future, and the inspiration for the blockbuster film Blade Runner By 2021, the World War has killed millions, driving entire species into extinction and sending mankind off-planet. Those who remain covet any living creature, and for people who can’t afford one, companies built incredibly realistic simulacra: horses, birds, cats, sheep. They’ve even built humans. Immigrants to Mars receive androids so sophisticated they are indistinguishable from true men or women. Fearful of the havoc these artificial humans can wreak, the government bans them from Earth. Driven into hiding, unauthorized androids live among human beings, undetected. Rick Deckard, an officially sanctioned bounty hunter, is commissioned to find rogue androids and “retire” them. But when cornered, androids fight back—with lethal force. Praise for Philip K. Dick “The most consistently brilliant science fiction writer in the world.”—John Brunner “A kind of pulp-fiction Kafka, a prophet.”—The New York Times “[Philip K. Dick] sees all the sparkling—and terrifying—possibilities . . . that other authors shy away from.”—Rolling Stone",258.0,4.0,516.0
Sci Fiction,The Martian Chronicles,https://www.goodreads.com/book/show/76778.The_Martian_Chronicles,"The tranquility of Mars is disrupted by humans who want to conquer space, colonize the planet, and escape a doomed Earth.",256.0,5.0,512.0
Sci Fiction,Ready Player One,https://www.goodreads.com/book/show/9969571-ready-player-one,"#1 NEW YORK TIMES BESTSELLER • Now a major motion picture directed by Steven Spielberg. “Enchanting . . . Willy Wonka meets The Matrix.”—USA Today • “As one adventure leads expertly to the next, time simply evaporates.”—Entertainment Weekly A world at stake. A quest for the ultimate prize. Are you ready? In the year 2045, reality is an ugly place. The only time Wade Watts really feels alive is when he’s jacked into the OASIS, a vast virtual world where most of humanity spends their days. When the eccentric creator of the OASIS dies, he leaves behind a series of fiendish puzzles, based on his obsession with the pop culture of decades past. Whoever is first to solve them will inherit his vast fortune—and control of the OASIS itself. Then Wade cracks the first clue. Suddenly he’s beset by rivals who’ll kill to take this prize. The race is on—and the only way to survive is to win. NAMED ONE OF THE BEST BOOKS OF THE YEAR BY Entertainment Weekly • San Francisco Chronicle • Village Voice • Chicago Sun-Times • iO9 • The AV Club “Delightful . . . the grown-up’s Harry Potter.”—HuffPost “An addictive read . . . part intergalactic scavenger hunt, part romance, and all heart.”—CNN “A most excellent ride . . . Cline stuffs his novel with a cornucopia of pop culture, as if to wink to the reader.”—Boston Globe “Ridiculously fun and large-hearted . . . Cline is that rare writer who can translate his own dorky enthusiasms into prose that’s both hilarious and compassionate.”—NPR “[A] fantastic page-turner . . . starts out like a simple bit of fun and winds up feeling like a rich and plausible picture of future friendships in a world not too distant from our own.”—iO9",386.0,4.5,772.0
Sci Fiction,The Moon Is a Harsh Mistress,https://www.goodreads.com/book/show/16690.The_Moon_Is_a_Harsh_Mistress,"For fans of Artemis—the visionary tour de force from “one of the grand masters of science fiction” (The Wall Street Journal). Widely acknowledged as one of Robert A. Heinlein's greatest works, The Moon Is a Harsh Mistress rose from the golden age of science fiction to become an undisputed classic—and a touchstone for the philosophy of personal responsibility and political freedom. A revolution on a lunar penal colony—aided by a self-aware supercomputer—provides the framework for a story of a diverse group of men and women grappling with the ever-changing definitions of humanity, technology, and free will—themes that resonate just as strongly today as they did when the novel was first published. The Moon Is a Harsh Mistress gives readers an extraordinary, thought-provoking glimpse into the mind of Robert A. Heinlein, who, even now, “shows us where the future is” (Tom Clancy).",402.0,4.0,804.0
